17236	{"NONE":1.0}
17237	{"ITALIAN":0.03650519031141868,"ENGLISH":0.8217993079584776,"NONE":0.1416955017301038}
17238	{"ENGLISH":0.6762138084632516,"SOMALI":0.0064142538975501115,"TAGALOG":0.014966592427616927,"ROMANIAN":0.008908685968819599,"WELSH":0.004454342984409799,"ESTONIAN":0.008908685968819599,"ITALIAN":0.0022271714922048997,"FINNISH":0.0022271714922048997,"AFRIKAANS":0.0022271714922048997,"NONE":0.2734521158129176}
17239	{"ENGLISH":0.3780392156862745,"ITALIAN":0.005196078431372549,"SOMALI":0.0024509803921568627,"TSWANA":0.0196078431372549,"NONE":0.5947058823529412}
17240	{"GEORGIAN":0.12987012987012986,"NONE":0.8701298701298701}
17241	{"ENGLISH":0.8518518518518519,"NONE":0.14814814814814814}
17242	{"ENGLISH":0.9891130434782609,"NONE":0.01088695652173913}
17243	{"ENGLISH":0.6428571428571429,"NONE":0.35714285714285715}
17244	{"ENGLISH":0.8991108161911081,"SOTHO":0.005003317850033179,"SLOVENE":0.0022959522229595223,"TSONGA":0.0013536828135368281,"TURKISH":0.002176509621765096,"MAORI":0.005972130059721301,"SLOVAK":0.0033178500331785005,"NONE":0.08076974120769741}
17245	{"ENGLISH":0.6530612244897959,"CATALAN":0.025510204081632654,"NONE":0.32142857142857145}
17246	{"ENGLISH":0.9793777777777778,"AFRIKAANS":0.012088888888888889,"FRENCH":0.01048888888888889,"POLISH":0.0044444444444444444,"NONE":-0.0064}
17247	{"ENGLISH":0.15722222222222224,"NONE":0.8427777777777777}
17248	{"GEORGIAN":0.01592920353982301,"KOREAN":0.05309734513274336,"SOTHO":0.015150442477876107,"AFRIKAANS":0.004424778761061947,"ENGLISH":0.09302654867256638,"ESTONIAN":0.00863716814159292,"DANISH":0.008849557522123894,"SWAHILI":0.016991150442477877,"POLISH":0.006973451327433628,"LATIN":0.08258407079646017,"TAGALOG":0.01961061946902655,"SLOVAK":0.012460176991150443,"LATVIAN":0.009026548672566371,"YORUBA":0.02870796460176991,"MAORI":0.021238938053097345,"FRENCH":0.05309734513274336,"ITALIAN":0.0035398230088495575,"LITHUANIAN":0.05309734513274336,"KHMER":0.014265486725663717,"MYANMAR":0.0035398230088495575,"VIETNAMESE":0.0035398230088495575,"GANDA":0.05309734513274336,"NONE":0.4191150442477876}
17249	{"ENGLISH":0.031131221719457012,"NONE":0.968868778280543}
17250	{"ENGLISH":0.918407960199005,"POLISH":9.950248756218905E-4,"TSWANA":0.021890547263681594,"WELSH":0.003980099502487562,"DANISH":0.0029850746268656717,"HUNGARIAN":0.001990049751243781,"FRENCH":0.001990049751243781,"NONE":0.04776119402985075}
17251	{"NONE":1.0}
17252	{"MAORI":0.05858585858585859,"NONE":0.9414141414141414}
17253	{"ESTONIAN":0.14720812182741116,"TSWANA":0.28426395939086296,"XHOSA":0.030456852791878174,"ENGLISH":0.3401015228426396,"POLISH":0.050761421319796954,"SWEDISH":0.10152284263959391,"FINNISH":0.015228426395939087,"SHONA":0.01015228426395939,"NONE":0.02030456852791878}
17254	{"ENGLISH":0.7962962962962963,"NONE":0.2037037037037037}
17255	{"ARABIC":0.7082905982905983,"ENGLISH":0.06811965811965812,"JAPANESE":0.008504273504273505,"CHINESE":0.008717948717948718,"SHONA":0.0028205128205128207,"PERSIAN":0.0028205128205128207,"NONE":0.20072649572649573}
17256	{"ENGLISH":0.9409183673469388,"NONE":0.059081632653061225}
17257	{"THAI":0.06012024048096192,"MUSIC":0.06012024048096192,"GURMUKHI":0.06012024048096192,"MARATHI":0.008336673346693387,"HINDI":0.015190380761523046,"GUJARATI":0.06012024048096192,"TURKISH":0.06012024048096192,"INDONESIAN":0.02476953907815631,"SHONA":0.034829659318637275,"GERMAN":0.01002004008016032,"MYANMAR":0.01963927855711423,"NONE":0.5866132264529058}
17258	{"ENGLISH":0.8666666666666667,"FINNISH":0.00392156862745098,"ITALIAN":0.00392156862745098,"NONE":0.12549019607843137}
17259	{"ENGLISH":0.020202020202020204,"NONE":0.9797979797979798}
17260	{"GERMAN":1.0163265306122449,"NONE":-0.0163265306122449}
17261	{"ENGLISH":1.0,"NONE":0.0}
17262	{"ITALIAN":0.006006006006006006,"SPANISH":0.9670870870870871,"NONE":0.02690690690690691}
17263	{"ENGLISH":0.774958263772955,"WELSH":0.0389983305509182,"SWAHILI":0.04387312186978297,"SOTHO":0.019031719532554257,"NONE":0.12313856427378965}
17264	{"CHINESE":0.007246376811594203,"NONE":0.9927536231884058}
17265	{"FINNISH":0.40375586854460094,"SWAHILI":0.028169014084507043,"XHOSA":0.03755868544600939,"SOTHO":0.009389671361502348,"MAORI":0.009389671361502348,"ESTONIAN":0.014084507042253521,"TSWANA":0.1288262910798122,"YORUBA":0.014084507042253521,"NONE":0.3547417840375587}
17266	{"ENGLISH":0.0058133333333333335,"NONE":0.9941866666666667}
